AVAILABILITY & PRICING TEXT FILE,,,,,,,,,,,,,,,,,,,,
Product ID,Product Status,Item Status,Product Description,Description #2,Description #3,Reg Price,P/U Price,SOH,ALC,Avail,PO Date 1,PO Qty 1,PO Date 2,PO Qty 2,PO Date 3,PO Qty 3,PO Date 4,PO Qty 4,PO Date 5,PO Qty 5
AC68,Discontinued,Active,AC68 VANITY DESK + MIRROR + STOOL,GLOSS WHITE,* 2 BOXES *,524,499,,,69,,,,,,,,,,
AC68-A,Discontinued,Active,AC68 VANITY DESK + STOOL,GLOSS WHITE,* BOX 1 OF 2 *,0,,69,0,69,,,,,,,,,,
AC68-B,Discontinued,Active,AC68 MIRROR,GLOSS WHITE,* BOX 2 OF 2 *,0,,69,0,69,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC712,Discontinued,Active,AC712 FUR OTTOMAN,WHITE COLOR,ACRYLIC LEGS,90,85,71,0,71,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC713,Discontinued,Active,AC713 FUR OTTOMAN,PINK COLOR,ACRYLIC LEGS,90,85,13,0,13,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC716,Discontinued,Active,AC716 FUR BENCH,WHITE COLOR,ACRYLIC LEGS,136,129,261,0,261,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC717,Discontinued,Active,AC717 FUR BENCH,PINK COLOR,ACRYLIC LEGS,136,129,128,0,128,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC718,Discontinued,Active,AC718 FUR BENCH,WHITE COLOR,ACRYLIC LEGS,100,95,35,0,35,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC719,Discontinued,Active,AC719 FUR BENCH,PINK COLOR,ACRYLIC LEGS,100,95,39,0,39,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC720,Discontinued,Active,AC720 FUR BENCH,WHITE COLOR,ACRYLIC LEGS,132,125,113,0,113,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC722,Discontinued,Active,AC722 STORAGE BENCH,DARK GRAY VELVET,ACRYLIC LEGS,179,188,4,0,4,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC723,Discontinued,Active,AC723 STORAGE BENCH,WHITE FAUX LEATHER,ACRYLIC LEGS,179,188,2,0,2,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC750,Discontinued,Active,AC750 STORAGE OTTOMAN **SET OF 2**,DARK GRAY VELVET,* 1 BOX *,81,85,21,0,21,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC751,Discontinued,Active,AC751 STORAGE OTTOMAN **SET OF 2**,NAVY BLUE VELVET,* 1 BOX *,81,85,11,0,11,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC752,Discontinued,Active,AC752 STORAGE OTTOMAN **SET OF 2**,BLACK VELVET,* 1 BOX *,81,85,4,0,4,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC753,Discontinued,Active,AC753 STORAGE OTTOMAN **SET OF 2**,BEIGE VELVET,* 1 BOX *,81,85,113,0,113,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC754,Discontinued,Active,AC754 STORAGE OTTOMAN **SET OF 2**,DARK GRAY VELVET,* 1 BOX *,66,69,117,1,116,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC755,Discontinued,Active,AC755 STORAGE OTTOMAN **SET OF 2**,NAVY BLUE VELVET,* 1 BOX *,66,69,38,0,38,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC756,Discontinued,Active,AC756 STORAGE OTTOMAN **SET OF 2**,BLACK VELVET,* 1 BOX *,66,69,5,0,5,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC757,Discontinued,Active,AC757 STORAGE OTTOMAN **SET OF 2**,BEIGE VELVET,* 1 BOX *,66,69,94,1,93,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC758,Discontinued,Active,AC758 SOTRAGE OTTOMAN **SET OF 2**,DARK GRAY VELVET,* 1 BOX *,81,85,57,0,57,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC759,Discontinued,Active,AC759 STORAGE OTTOMAN **SET OF 2**,NAVY BLUE VELVET,* 1 BOX *,81,85,107,0,107,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC760,Discontinued,Active,AC760 STORAGE OTTOMAN **SET OF 2**,BLACK VELVET,* 1 BOX *,81,85,0,0,0,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
