AVAILABILITY & PRICING TEXT FILE,,,,,,,,,,,,,,,,,,,,
Product ID,Product Status,Item Status,Product Description,Description #2,Description #3,Reg Price,P/U Price,SOH,ALC,Avail,PO Date 1,PO Qty 1,PO Date 2,PO Qty 2,PO Date 3,PO Qty 3,PO Date 4,PO Qty 4,PO Date 5,PO Qty 5
AC10,Top Seller,Active,AC10 CABINET,HIGH GLOSS WHITE,* 2 BOXES *,399,419,,,0,,,,,,,,,,
AC10-1,Top Seller,Active,AC10 BOX 1,HIGH GLOSS WHITE,* BOX 1 OF 2 *,0,,0,0,0,,,,,8/4/2022,76,,,,
AC10-2,,Active,AC10 BOX 2,HIGH GLOSS WHITE,* BOX 2 OF 2 *,0,,1,0,1,,,,,8/4/2022,75,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC12,New Item,Active,AC12 CABINET,WALNUT,* 2 BOXES *,399,419,,,0,,,,,,,,,,
AC12-1,New Item,Active,AC12 BOX 1,WALNUT,* BOX 1 OF 2 *,0,,0,0,0,,,,,8/4/2022,21,8/30/2022,24,,
AC12-2,New Item,Active,AC12 BOX 2,WALNUT,* BOX 2 OF 2 *,0,,0,0,0,,,,,8/4/2022,21,8/30/2022,24,,
 ,,,,,,,,,,,,,,,,,,,,
AC13,New Item,Active,AC13 CABINET,HIGH GLOSS L. GRAY,* 2 BOXES *,399,419,,,0,,,,,,,,,,
AC13-1,New Item,Active,AC13 BOX 1,HIGH GLOSS L. GRAY,* BOX 1 OF 2 *,0,,0,0,0,,,,,8/4/2022,21,8/30/2022,24,,
AC13-2,New Item,Active,AC13 BOX 2,HIGH GLOSS L. GRAY,* BOX 2 OF 2 *,0,,0,0,0,,,,,8/4/2022,21,8/30/2022,24,,
 ,,,,,,,,,,,,,,,,,,,,
AC209,New Item,Active,AC209 BENCH,WHITE FAUX LEATHER,STAINLESS STEEL LEGS,399,419,20,0,20,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC210,Top Seller,Active,AC210 BENCH,DARK GRAY COLOR,VELVET FABRIC W/ STAINLESS STEEL LEGS,399,419,24,0,24,,,,,,,,,10/30/2022,40
 ,,,,,,,,,,,,,,,,,,,,
AC211,,Active,AC211 BENCH,NAVY BLUE COLOR,VELVET FABRIC W/ STAINLESS STEEL LEGS,399,419,10,0,10,,,,,,,,,10/30/2022,20
 ,,,,,,,,,,,,,,,,,,,,
AC212,,Active,AC212 BENCH,CREAM COLOR,VELVET FABRIC W/ STAINLESS STEEL LEGS,399,419,7,0,7,,,,,,,,,10/30/2022,20
 ,,,,,,,,,,,,,,,,,,,,
AC213,,Active,AC213 BENCH,BLACK COLOR,VELVET FABRIC W/ STAINLESS STEEL LEGS,399,419,10,0,10,,,,,,,,,10/30/2022,30
 ,,,,,,,,,,,,,,,,,,,,
AC220,,Active,AC220 BARREL CHAIR,DARK GRAY VELET,GOLDEN CHROME LEGS,224,235,24,1,23,,,,,8/5/2022,128,9/30/2022,115,,
 ,,,,,,,,,,,,,,,,,,,,
AC221,Top Seller,Active,AC221 BARREL CHAIR,NAVY BLUE VELVET,GOLDEN CHROME LEGS,224,235,55,0,55,,,,,8/5/2022,60,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC222,,Active,AC222 BARREL CHAIR,BLACK VELVET,GOLDEN CHROME LEGS,224,235,201,2,199,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC223,,Active,AC223 BARREL CHAIR,CREAM/ BEIGE VELVET,GOLDEN CHROME LEGS,224,235,2,0,2,,,,,8/5/2022,100,9/30/2022,50,,
 ,,,,,,,,,,,,,,,,,,,,
AC224,,Active,AC224 BARREL CHAIR,DARK GRAY VELVET,CHROME LEGS,218,229,3,0,3,,,,,8/5/2022,46,9/30/2022,135,,
 ,,,,,,,,,,,,,,,,,,,,
AC225,Top Seller,Active,AC225 BARREL CHAIR,NAVY BLUE VELVET,CHROME LEGS,218,229,17,0,17,,,,,8/5/2022,46,9/30/2022,45,,
 ,,,,,,,,,,,,,,,,,,,,
AC226,,Active,AC226 BARREL CHAIR,BLACK VELVET,CHROME LEGS,218,229,96,2,94,,,,,8/5/2022,76,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC227,Top Seller,Active,AC227 BARREL CHAIR,CREAM / BEIGE VELVET,CHROME LEGS,218,229,54,0,54,,,,,,,9/30/2022,40,,
 ,,,,,,,,,,,,,,,,,,,,
AC28,New Item,Active,AC28 4 DOOR SERVER,WALNUT,* 3 BOXES *,342,359,,,0,,,,,,,,,,
AC28-1,New Item,Active,AC28 HORIZONTAL SHELVES,WALNUT,* BOX 1 OF 3 *,0,,0,0,0,,,,,8/4/2022,21,8/30/2022,24,,
AC28-2,New Item,Active,AC28 DOORS AND SHELVES,WALNUT,* BOX 2 OF 3 *,0,,0,0,0,,,,,8/4/2022,21,8/30/2022,24,,
AC28-3,New Item,Active,AC28 GLASS LEG,CLEAR COLOR,* BOX 3 OF 3 *,0,,0,0,0,,,,,8/4/2022,21,8/30/2022,24,,
 ,,,,,,,,,,,,,,,,,,,,
AC31,,Active,AC31 4 DOOR SERVER,HIGH GLOSS WHITE COLOR,* 3 BOXES *,342,359,,,139,,,,,,,,,,
AC31-1,Top Seller,Active,AC31 HORIZONTAL SHELVES,HIGH GLOSS WHITE COLOR,* BOX 1 OF 3 *,0,,141,2,139,,,,,,,,,,
AC31-2,Note,Active,AC31 DOORS AND SHELVES,HIGH GLOSS WHITE COLOR,* BOX 2 OF 3 *,0,,145,2,143,,,,,,,,,,
AC31-3,,Active,AC31 GLASS LEGS,CLEAR COLOR,* BOX 3 OF 3 *,0,,161,2,159,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
AC34,New Item,Active,AC34 4 DOOR SERVER,HIGH GLOSS L. GRAY,* 3 BOXES *,342,359,,,0,,,,,,,,,,
AC34-1,New Item,Active,AC34 HORIZONTAL SHELVES,HIGH GLOSS L. GRAY,* BOX 1 OF 3 *,0,,0,0,0,,,,,8/4/2022,21,8/30/2022,24,,
AC34-2,New Item,Active,AC34 DOORS AND SHELVES,WALNUT,* BOX 2 OF 3 *,0,,0,0,0,,,,,8/4/2022,21,8/30/2022,24,,
AC34-3,New Item,Active,AC34 GLASS LEG,CLEAR COLOR,* BOX 3 OF 3 *,0,,0,0,0,,,,,8/4/2022,21,8/30/2022,24,,
 ,,,,,,,,,,,,,,,,,,,,
ANA-CK3,Top Seller,Active,ANASTASIA 3PC. CAL. KING SET,GRAY COLOR,(CK +DR +N),611,643,,,54,,,,,,,,,,
ANA-CK4,Top Seller,Active,ANASTASIA 4PC. CAL. KING SET,GRAY COLOR,(CK +DR +M +N),668,703,,,54,,,,,,,,,,
ANA-CK4C,,Active,ANASTASIA 4PC. CAL. KING SET W/ EXTRA CHEST,GRAY COLOR,(CK +DR +M +N +C),939,988,,,35,,,,,,,,,,
ANA-CK4N,,Active,ANASTASIA 4PC. CAL. KING SET W/ EXTRA NIGHSTAND,GRAY COLOR,(CK +DR +M +2N),786,827,,,54,,,,,,,,,,
ANA-CK4NC,,Active,ANASTASIA 4PC. CAL. KING SET W/ EXTRA NS & CHEST,GRAY COLOR,(CK +DR +M +2N +C),1057,1112,,,35,,,,,,,,,,
ANA-DRM,Top Seller,Active,ANASTASIA DRESSER & MIRROR,GRAY COLOR,* 2 BOXES *,1,1,,,235,,,,,,,,,,
ANA-EK3,,Active,ANASTASIA 3PC. EASTERN KING SET,GRAY COLOR,(EK +DR +N),611,643,,,3,,,,,,,,,,
ANA-EK4,,Active,ANASTASIA 4PC. EASTERN KING SET,GRAY COLOR,(EK +DR +M +N),668,703,,,3,,,,,,,,,,
ANA-EK4C,,Active,ANASTASIA 4PC. EASTERN KING SET W/ EXTRA CHEST,GRAY COLOR,(EK +DR +M +N +C),939,988,,,3,,,,,,,,,,
ANA-EK4N,,Active,ANASTASIA 4PC. EASTERN KING SET W/ EXTRA NS,GRAY COLOR,(EK +DR +M +2N),786,827,,,3,,,,,,,,,,
ANA-EK4NC,,Active,ANASTASIA 4PC. EASTERN KING SET W/ EXTRA NS &CHEST,GRAY COLOR,(EK +DR +M +2N +C),1057,1112,,,3,,,,,,,,,,
ANA-F3,,Active,ANASTASIA 3PC. FULL SET,GRAY COLOR,(F +DR +N),578,608,,,1,,,,,,,,,,
ANA-F4,,Active,ANASTASIA 4PC. FULL SET,GRAY COLOR,(F +DR +M +N),635,668,,,1,,,,,,,,,,
ANA-F4C,,Active,ANASTASIA 4PC. FULL SET W/ EXTRA CHEST,GRAY COLOR,(F +DR +M +N +C),906,953,,,1,,,,,,,,,,
ANA-F4N,Top Seller,Active,ANASTASIA 4PC. FULL SET W/ EXTRA NIGHTSTAND,GRAY COLOR,(F +DR +M 2N),753,792,,,1,,,,,,,,,,
ANA-F4NC,,Active,ANASTASIA 4PC. FULL SET W/ EXTRA NS & CHEST,GRAY COLOR,(F +DR +M +2N +C),1024,1077,,,1,,,,,,,,,,
ANA-Q3,Top Seller,Active,ANASTASIA 3PC. QUEEN SET,GRAY COLOR,(Q +DR +N),584,614,,,36,,,,,,,,,,
ANA-Q4,,Active,ANASTASIA 4PC. QUEEN SET,GRAY COLOR,(Q +DR +M +N),641,674,,,36,,,,,,,,,,
ANA-Q4C,,Active,ANASTASIA 4PC. QUEEN SET W/ EXTRA CHEST,GRAY COLOR,(Q +DR +M +N +C),912,959,,,35,,,,,,,,,,
ANA-Q4N,,Active,ANASTASIA 4PC. QUEEN SET W/ EXTRA NIGHTSTAND,GRAY COLOR,(Q +DR +M +2N),759,798,,,36,,,,,,,,,,
ANA-Q4NC,,Active,ANASTASIA 4PC. QUEEN SET W/ EXTRA NS & CHEST,GRAY COLOR,(Q +DR +M +2N +C),1029,1083,,,35,,,,,,,,,,
ANA-T3,,Active,ANASTASIA 3PC. TWIN SET,GRAY COLOR,(T +DR +N),558,587,,,226,,,,,,,,,,
