AVAILABILITY & PRICING TEXT FILE,,,,,,,,,,,,,,,,,,,,
Product ID,Product Status,Item Status,Product Description,Description #2,Description #3,Reg Price,P/U Price,SOH,ALC,Avail,PO Date 1,PO Qty 1,PO Date 2,PO Qty 2,PO Date 3,PO Qty 3,PO Date 4,PO Qty 4,PO Date 5,PO Qty 5
B120-FB,Slow Seller,Active,B120 FULL BED,BEIGE LINEN,* 1 BOX *,211,222,120,0,120,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
BS160,Slow Seller,Active,"BS160 29"" BAR STOOL **SET OF 2**",GRAY COLOR,VELVET FABRIC,199,209,10,0,10,7/14/2022,65,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
BS161,Slow Seller,Active,"BS161 29"" BAR STOOL **SET OF 2**",NAVY BLUE COLOR,VELVET FABRIC,199,209,5,0,5,7/14/2022,43,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
BS162,Slow Seller,Active,"BS162 29"" BAR STOOL **SET OF 2**",BLACK COLOR,VELVET FABRIC,199,209,4,0,4,7/14/2022,66,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
BS163,Slow Seller,Active,"BS163 29"" BAR STOOL **SET OF 2**",WHITE COLOR,FAUX LEATHER,199,209,13,0,13,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
BS26,Slow Seller,Active,"BS26 29"" BAR STOOL ** SET OF 2 **",WHITE COLOR,FAUX LEATHER,99,104,169,0,169,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
BS27,Slow Seller,Active,"BS27 29"" BAR STOOL ** SET OF 2 **",BRONZE COLOR,FAUX LEATHER,99,104,189,1,188,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
BS28,Slow Seller,Active,"BS28 29"" BAR STOOL ** SET OF 2 **",COFFEE COLOR,FAUX LEATHER,99,104,79,2,77,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
BS29,Slow Seller,Active,"BS29 29"" BAR STOOL ** SET OF  2 **",CHARCOAL COLOR,FAUX LEATHER,99,104,133,0,133,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
BS39,Slow Seller,Active,BS39 BAR STOOL **SET OF 2**,WHITE FAUX LEATHER,CHROME LEGS,239,252,25,0,25,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
BS40,Slow Seller,Active,BS40 BAR STOOL **SET OF 2**,DARK GRAY VELVET,CHROME LEGS,239,252,120,0,120,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
BS41,Slow Seller,Active,BS41 BAR STOOL **SET OF 2**,NAVY BLUE VELVET,CHROME LEGS,239,252,22,2,20,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
BS42,Slow Seller,Active,BS42 BAR STOOL **SET OF 2**,BLACK VELVET,CHROME LEGS,239,252,29,0,29,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
BS43,Slow Seller,Active,BS43 BAR STOOL **SET OF 2**,TEAL BLUE VELVET,CHROME LEGS,229,241,33,0,33,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
BS44,Slow Seller,Active,BS44 BAR STOOL **SET OF 2**,DARK GRAY VELVET,GOLD CHROME LEGS,259,273,50,0,50,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
BS45,Slow Seller,Active,BS45 BAR STOOL **SET OF 2**,EMERALD GREEN VELVET,GOLD CHROME LEGS,259,273,2,0,2,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
BS46,Slow Seller,Active,BS46 BAR STOOL **SET OF 2**,BLACK VELVET,GOLD CHROME LEGS,259,273,26,0,26,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
BS47,Slow Seller,Active,BS47 BAR STOOL **SET OF 2**,TEAL BLUE VELVET,GOLD CHROME LEGS,259,273,44,0,44,,,,,,,,,,
